"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000971.17",893.277292113289,-8.40122381311143,0.196917702924537,-42.6636289594082,0,0
"ENSG00000004799.8",198.249578298345,-5.35562901772178,0.13236187256431,-40.4620221364705,0,0
"ENSG00000008513.17",693.977082508297,-5.23078848830646,0.139135773439669,-37.5948496852579,0,0
"ENSG00000011426.11",4025.84577551836,5.65921134075985,0.142161157129881,39.8084220402729,0,0
"ENSG00000013810.21",1957.57372100541,4.49036153695292,0.0937214140475771,47.9117988411209,0,0
"ENSG00000023839.12",2771.51820434865,-9.6084941663888,0.220872963741788,-43.5023553974747,0,0
"ENSG00000025423.11",541.780386098129,-7.01749371943759,0.182393475298505,-38.4744778175468,0,0
"ENSG00000026025.16",3961.22820624574,-8.68041788578327,0.145984256150857,-59.4613290135416,0,0
"ENSG00000054179.12",423.947064802149,7.23418481914604,0.166320208644129,43.4955251566863,0,0
"ENSG00000062038.15",985.998112382572,7.49708816092296,0.15796635876744,47.4600302204868,0,0
"ENSG00000062282.15",1185.94342794868,-3.9267124916346,0.0982567760124795,-39.9637831709019,0,0
"ENSG00000065911.13",3255.42818697782,5.62939945946083,0.107284580139049,52.4716548469941,0,0
"ENSG00000069424.16",355.72390844158,5.86614883847175,0.138796339024346,42.2644349246328,0,0
"ENSG00000069667.16",321.093121831347,-4.8515671446536,0.120803545636097,-40.1608009028826,0,0
"ENSG00000071282.12",432.654638486172,-3.99225242219747,0.0847496196848615,-47.1064346606218,0,0
"ENSG00000072071.17",952.929123272875,8.36260807267658,0.183633688834099,45.5396181701259,0,0
"ENSG00000072609.18",375.196114265114,-6.48107647407182,0.141834408269539,-45.6946699545243,0,0
"ENSG00000073008.16",2984.81255960975,-2.81440606296268,0.0698794574850378,-40.2751561653907,0,0
"ENSG00000073712.15",1163.03912160221,-6.42039608224792,0.107905714701643,-59.5000561369728,0,0
"ENSG00000076242.17",654.135620317943,-5.50431624098261,0.110649864786226,-49.7453499072673,0,0
"ENSG00000076382.17",1471.01891412608,4.00478399520585,0.0848462284622564,47.2004951520899,0,0
"ENSG00000080819.9",2453.13231189727,3.65575708755644,0.0787381823019018,46.429279679576,0,0
"ENSG00000081059.20",1004.64333731728,4.56401930387144,0.10320611307817,44.222373731046,0,0
"ENSG00000082014.17",337.917637249249,5.6836185179322,0.150884685466801,37.6686242235152,0,0
"ENSG00000082458.12",747.133562250079,4.87919034130352,0.0929647961706727,52.4842794507492,0,0
"ENSG00000084207.18",7550.18169536368,6.01030893814315,0.14037934647893,42.8147664802334,0,0
"ENSG00000085999.13",414.405040778149,6.00780501485103,0.139149684435146,43.1751249687607,0,0
"ENSG00000091513.16",3332.20356647722,-6.18633902747035,0.143243052834641,-43.1877072224355,0,0
"ENSG00000093009.11",677.164150350012,5.34192768616334,0.127511497617573,41.8936941842266,0,0
"ENSG00000099812.9",1018.46813518951,7.06816062483121,0.184718656062435,38.264465406473,0,0
"ENSG00000100024.15",153.065262799986,-7.01974701639477,0.183697032181428,-38.2137203472167,0,0
"ENSG00000100097.12",2512.85164414015,-7.84158757702208,0.183139950675255,-42.8174603526395,0,0
"ENSG00000100342.22",3515.75741780802,-9.07266294401111,0.138743355958547,-65.3916930387774,0,0
"ENSG00000101188.5",1360.4387716619,8.60894133508611,0.202682280405704,42.4750566149828,0,0
"ENSG00000101311.17",1375.67043159408,5.39459395518967,0.12867229776285,41.9250611746453,0,0
"ENSG00000101577.11",2076.21124458734,-4.35435252191836,0.115800529310135,-37.6021815086581,0,0
"ENSG00000102038.16",814.977401069686,-6.62654746464104,0.155322217743029,-42.6632297744053,0,0
