,Hep_D1_1,Hep_D1_2,Hep_D1_3,SW1116_D1_1,SW1116_D1_2,SW1116_D1_3,SW48_D1_1,SW48_D1_2,SW48_D1_3
ENSG00000071994.11,102.3993,104.903011,104.897621,115.326739,121.596189,120.694826,53.710843,47.466425,47.657538
ENSG00000072041.18,0.72819,0.128807,0.192064,0,0,0,0.044467,0.012494,0.01487
ENSG00000072042.13,84.603953,81.497892,82.227965,22.368078,24.744845,27.674244,54.874671,55.097677,57.089625
ENSG00000072062.16,36.856134,34.374393,34.481197,14.918056,16.680042,13.965046,52.391889,51.674153,56.171454
ENSG00000072071.17,0.274712,0.042283,0.079201,5.180935,7.384096,7.188867,31.773887,32.407369,43.029742
ENSG00000072080.11,38.292622,37.289528,36.128921,0.775609,0,0,0.638658,0,0.534168
ENSG00000072110.16,83.16514,82.265058,88.602078,50.520822,57.443811,54.786176,87.954264,92.365406,91.831873
ENSG00000072121.17,5.570664,6.640806,5.421432,3.433094,3.398341,2.052435,10.161349,11.939915,14.394075
ENSG00000072133.12,0.312614,0.309637,0.318543,0.019327,0.011793,0.027146,0,0.017375,0.029537
ENSG00000072134.16,4.193834,4.101168,5.879911,21.544092,25.924518,26.487369,15.801927,13.288994,12.198803
ENSG00000072135.13,12.498298,9.969785,12.771153,20.95246,22.777735,23.814465,50.498585,56.066707,55.911851
ENSG00000072163.20,10.0025,13.007708,11.936399,2.448123,1.649712,1.50671,0.252074,0.424911,0.388537
ENSG00000072182.14,0,0,0,0.094902,0.174308,0.527034,0.70945,1.047412,1.027697
ENSG00000072195.15,0,0.073206,0.057922,9.029735,7.446612,6.577478,28.006302,31.02572,38.033724
ENSG00000072201.14,1.677639,1.854741,1.755057,0.568956,0.836215,0.452567,0.043307,0.04181,0
ENSG00000072210.19,98.8634,100.164285,104.676071,48.472659,66.40418,54.732363,77.661883,78.482921,83.145921
ENSG00000072274.14,67.073997,71.578651,64.808494,72.614019,117.064428,102.252278,72.13304,76.863467,81.889457
ENSG00000072310.18,8.269405,8.652291,9.115064,11.371748,16.051666,16.018975,41.983244,51.541717,48.301267
ENSG00000072315.4,0.013571,0.008967,0.018329,0.008586,0,0,0.005048,0,0.004913
ENSG00000072364.13,19.509057,22.130766,21.510475,10.79913,16.720572,13.569468,18.677697,26.502654,20.26613
ENSG00000072401.15,20.577107,27.025669,17.772806,40.243824,34.918132,38.043113,13.971592,14.671215,11.600939
ENSG00000072415.10,23.389087,26.47946,23.06315,9.117923,12.208358,10.239465,18.969157,22.975706,20.863968
ENSG00000072422.17,1.808769,1.938012,1.484614,0.711842,1.625006,1.012618,4.118434,3.789842,3.136321
ENSG00000072501.19,13.892745,11.183682,9.662021,15.582224,29.865841,24.793096,34.545668,49.156854,44.939051
ENSG00000072506.14,160.735166,150.887258,169.111856,142.139533,144.181601,152.761386,96.914098,91.032833,83.709101
ENSG00000072518.23,9.702294,9.68048,9.577546,16.339673,23.045912,22.042955,24.480723,25.135073,24.794656
ENSG00000072571.20,1.52644,1.205427,1.080152,39.87313,56.557205,45.290538,9.421643,12.389793,10.76403
ENSG00000072609.18,19.488966,22.359493,19.531357,11.320791,13.140051,11.519636,0.017833,0.264251,0.081143
ENSG00000072657.10,0.186943,0.718211,0.182251,0.004729,0.010494,0,0,0,0
ENSG00000072682.20,39.51133,39.925595,39.355263,29.979188,31.828792,31.951958,54.567395,55.406222,49.117628
ENSG00000072694.22,0.147129,0.111539,0.028987,0,0,0,0,0.041098,0
ENSG00000072736.19,5.414313,5.697629,5.871641,2.467744,3.859066,2.613557,8.327678,8.368806,8.606176
ENSG00000072756.18,28.266096,28.122149,24.764695,24.866679,28.358087,26.979281,29.63113,29.144165,36.193673
ENSG00000072778.20,220.34785,208.867021,214.987874,196.673299,184.377058,169.299077,781.144479,761.099528,846.156954
ENSG00000072786.13,5.267649,5.568653,6.169317,9.901898,11.757799,8.747875,12.60785,16.700689,11.839544
ENSG00000072803.18,23.161953,25.403892,21.905427,9.656741,13.583856,12.663922,20.652938,21.635763,21.720682
ENSG00000072818.12,3.08609,5.969533,8.578584,3.990341,3.629471,3.964692,5.665987,2.872151,2.321794
ENSG00000072832.15,0.632227,0.675281,0.374433,0,0,0,0,0,0
ENSG00000072840.13,0.906445,1.254835,1.239177,0.008266,0,0,0,0.029428,0
ENSG00000072849.11,96.582284,107.764368,105.507483,74.012542,56.562319,72.184707,47.439295,50.148851,53.877309
ENSG00000072858.11,0,0.419292,0.101802,2.250293,2.509512,2.165201,1.454452,0.864767,1.110361
ENSG00000072864.16,6.088368,4.815004,4.849081,24.538498,34.168951,32.941427,24.398051,30.91775,27.401334
ENSG00000072952.21,0,0,0,0.055052,0.050938,0.166246,0,0.054465,0.031555
ENSG00000072954.7,6.116169,6.289084,6.696886,6.671368,9.971668,8.135932,5.584367,6.532162,5.258915
ENSG00000072958.9,41.769695,39.018459,39.885234,26.654274,27.010668,29.965037,30.760909,32.480998,34.19657
ENSG00000073008.16,114.61905,108.871344,111.873302,28.772136,38.749496,37.195479,21.104331,23.139596,21.467381
ENSG00000073050.12,7.597656,6.94507,7.161974,16.626798,17.020153,19.311163,17.883022,17.279325,17.797708
ENSG00000073060.17,30.755071,33.92848,35.229501,24.456001,38.104767,31.20126,54.999042,51.801163,51.694988
ENSG00000073067.14,0,0,0.025851,1.588735,1.440335,0.858313,2.074974,2.326529,4.633163
ENSG00000073111.14,3.842341,3.760289,4.042528,57.615753,85.852341,79.377629,67.593371,64.772604,63.74219
