,Hep_D1_1,Hep_D1_2,Hep_D1_3,SW1116_D1_1,SW1116_D1_2,SW1116_D1_3,SW48_D1_1,SW48_D1_2,SW48_D1_3
ENSG00000000003.16,1306.001,1266.035,1102,1391,1405.977,1401,1133.022,1081,1043.001
ENSG00000000005.6,0,0,1,0,0,2,0,0,0
ENSG00000000419.14,1521.644,1624.443,1507.433,2487.316,2305.117,2508.09,851.029,943.869,929.749
ENSG00000000457.14,291.68,341.842,319.943,187.563,176.595,206.437,264.653,246.263,308.411
ENSG00000000460.17,124.319,151.249,125.01,494.431,534.441,516.562,278.425,249.736,236.763
ENSG00000000938.13,0,0,0,11,7,18,1,0,1
ENSG00000000971.17,1868.006,2023.281,1926.102,5.773,2.121,7.601,11.868,10.908,15.414
ENSG00000001036.14,2916.082,3176.876,2957.912,3773.627,3706.815,3918.066,1882.564,1844.609,1896.636
ENSG00000001084.13,4691.067,4921.724,4503.586,1587.072,1824.973,1746.103,2325.695,2469.907,2500.015
ENSG00000001167.15,553,577,604,580,547,569,517,457,521.948
ENSG00000001460.18,158.302,151.057,151.328,116.751,103.033,144.155,122.02,147.001,129.051
ENSG00000001461.17,439,499,456,369.933,447,444,1021.001,1026,1013.001
ENSG00000001497.18,1070.999,1089.317,1000.19,1711.663,1631.292,1792.413,808.001,816.873,844.002
ENSG00000001561.7,801,937,761,217,288,298,392,455,454.179
ENSG00000001617.12,5,8,14,139,157,151,1393.001,1291.546,1424
ENSG00000001626.18,6,0,0,1,1,6.999,1,0,0
ENSG00000001629.10,732,803.82,750,1358,1623,1646,1894.001,2067.822,2108.889
ENSG00000001630.18,3357.276,3927.64,3568.381,1064.377,1406.557,1248.729,2333.077,2605.848,2451.355
ENSG00000001631.17,813.958,936.253,736.061,862.992,946,772.325,1098.736,1255.491,1307.976
ENSG00000002016.18,199.999,263,240,260.988,322.999,315,261.001,302,288.999
ENSG00000002079.14,146,156,170,27,31,48,6,9,6
ENSG00000002330.14,350.894,283.907,336.796,478.618,493.933,471.759,544.735,490.553,536.781
ENSG00000002549.13,2453.098,2530,2286.457,1418.345,1914.001,2021.999,1371.997,1321,1358.99
ENSG00000002586.20,2256.002,2302.999,2332.001,1153.896,1048.23,1164.158,1782.027,1538.122,1576.46
ENSG00000002587.10,0,0,0,230,190,201.007,9,4.001,15.001
ENSG00000002726.21,1,0,0,1415.997,1434.998,1501.981,0,1,4
ENSG00000002745.13,0,6,1,21,36,22,146,179,142
ENSG00000002746.15,0,2,1.007,2,6,11.947,2.212,1,3
ENSG00000002822.16,26.441,40.447,29.14,278.481,270.5,267.096,593.747,471.342,474.907
ENSG00000002834.19,9326.743,9259.647,9139.828,9288.158,9925.638,10387.926,2492.915,2617.788,2552.661
ENSG00000002919.15,788.058,718.001,732.001,354.001,428,459.009,391.002,422,481
ENSG00000002933.9,1527,1597.001,1709.009,32.999,41,38,0,0,0
ENSG00000003056.8,3988.324,3997.279,3838.82,5935.304,6761.531,6952.262,2092.668,1932.314,1970.662
ENSG00000003096.15,13,23,18,0,0,0,0,0,2
ENSG00000003137.9,4,7,5,59,73,60.001,401,376.001,498
ENSG00000003147.19,99.457,124,94.999,208.999,185.999,184.002,718.088,760.185,764.999
ENSG00000003249.15,897.003,785,826.999,153,162.999,178.001,1123,1115,1152.667
ENSG00000003393.16,1019.272,1103.185,1090.04,1129.467,1212.983,1155.967,1088.355,1205.66,1235.159
ENSG00000003400.16,462.271,555.905,450.067,416.439,476,444.865,24.173,26.65,34.043
ENSG00000003402.21,3107.439,3018.99,2968.845,1561.708,1679.256,1598.64,1710.201,1812.987,1940.413
ENSG00000003436.16,2691.722,2952.239,2683.134,124.623,149.039,155.222,91.356,102.317,121.524
ENSG00000003509.16,523.891,544.335,527.566,700.474,695.243,709.815,314.793,267.33,327.525
ENSG00000003756.17,1598.562,1596.097,1485.597,1149.091,1206.927,1150.442,2998.316,2967.498,3278.836
ENSG00000003987.14,61.259,102.073,55.73,19.888,20.794,15.238,40.399,58.503,76.537
ENSG00000003989.18,1892.999,2127,1866,217,278,275,146,214,188
ENSG00000004059.11,2028.866,1840.864,1927,3680.802,3059.101,3451,2156.835,1864.84,1935.974
ENSG00000004139.14,83.195,117.27,72.879,107.515,155.759,136.201,624.83,674.668,729.951
ENSG00000004142.12,4604.02,4317.919,4416.527,4148.731,4499.138,4792.279,1967.777,2006.739,1994.324
ENSG00000004399.13,81,60,59,368,439.002,433,1417.001,1446.471,1472.999
ENSG00000004455.18,4015.092,4049.001,4000.008,4700.242,4420.099,4675.333,2607,2603.64,2848.18
ENSG00000004468.13,1,10,6,4,8.889,3,0,1,0
ENSG00000004478.8,4585,4692.178,4574.406,9154.679,9981.892,10969.963,2207.001,2154.372,2198.027
ENSG00000004487.18,1198.62,1253.979,1169.959,2040.132,2416.303,2408.829,3437.711,3457.61,3711.848
ENSG00000004534.15,593.004,603.001,664,1367.864,1272,1236,1286.996,1183.113,1364.046
ENSG00000004660.15,5,5,1,241.088,210.999,250.014,566.317,537.594,609.978
ENSG00000004700.16,1351.452,1434.697,1268.885,2789.388,3225.715,3348.126,785.129,775.534,787.397
ENSG00000004766.17,368.999,400,332.999,310,294,303,520.696,541,503.488
ENSG00000004776.13,4,6,9,1,1,4,10,9,15
ENSG00000004777.19,8,14,9,15,16,21.001,396.001,411,413.813
ENSG00000004779.10,1621.968,1634.001,1484,1710.993,1612.001,1665.904,1025.001,956.001,1006.999
ENSG00000004799.8,477,597.009,546.001,46,30,48,38,27,24
ENSG00000004809.14,0,0,0,0,0,0,0,0,0
ENSG00000004838.14,5,4,7,7.172,4,5,44,46.999,44
ENSG00000004846.17,1.024,0,0,4,7,4.954,4.827,2.013,2.961
ENSG00000004848.8,0,0,1,7,2,6,0,0,1
ENSG00000004864.14,846,893,880,582,635.999,567,642.999,677,700
ENSG00000004866.22,188.211,172.56,178.283,314.292,341.397,359.224,409.369,385.648,406.096
ENSG00000004897.12,1846.993,2081.993,1888.987,1910.089,2199.498,1956.609,1487.804,1585.672,1563.954
ENSG00000004939.16,0,0,3.073,1,0,1.426,1,5,1.032
ENSG00000004948.16,0,0,0,1,4,0,0,0,0
ENSG00000004961.15,1283.092,1275,1235.007,1356,1401,1458,414,433.001,399
ENSG00000004975.12,469,498.999,494,549.001,611.138,676.001,900.998,854.002,896.001
ENSG00000005001.10,2,5,1,745.001,691,694,1767.311,1657.854,1741.999
ENSG00000005007.14,1523.467,1494.999,1601,1575.978,1815,1960.002,2815.606,2696.835,2859.999
ENSG00000005020.13,50,58,29,261,398,372,706.101,795.143,792.435
ENSG00000005022.6,6257.739,6205.941,6340.142,7014.889,7494.797,7947.975,5674.612,5205.58,5228.411
ENSG00000005059.16,162.999,177,165,126,114,88,382,338.001,428
ENSG00000005073.6,0,0,0,73.754,93.868,107.729,227.108,188.536,213.658
ENSG00000005075.16,1124.883,1102.828,1233.61,1861.821,1502.687,1743.414,1143.025,1053.118,1098.088
ENSG00000005100.13,960.999,1041,914.02,1237,1630.456,1485.522,1924.631,1986.999,2055.806
ENSG00000005102.14,0,0,0,0,0,1,0,0,0
ENSG00000005108.17,2,6,11,1,0,3,0,1,0
ENSG00000005156.12,492.161,502.475,445.712,513.491,584.664,581.4,809.73,910.049,983.349
ENSG00000005175.10,981.588,1003,912,1676,1735.036,1672.949,846,863.001,844.001
ENSG00000005187.12,69.915,63.254,111.52,68.302,88.162,89.699,12.515,17.999,18.115
ENSG00000005189.20,172,174,149.001,422.999,519,554,218.001,226.001,224.997
ENSG00000005194.15,1892.079,1817,1833.299,973.001,1010.001,1083.999,1295.413,1285.001,1347
ENSG00000005206.17,321,301,298.002,253.999,239,224,1422.782,1278.34,1464.438
ENSG00000005238.20,863.042,908.001,918.001,233,235,249,108.001,106,94
ENSG00000005243.10,141,150.999,165.917,94.001,56.999,81.999,9,3,6
ENSG00000005249.14,9.008,11.006,4,38,38,29.006,380,414.889,407.944
ENSG00000005302.19,686,738.001,610,536,648.573,591,698.999,723.001,772.999
ENSG00000005339.15,524.09,580,547.047,1014.001,1361.059,1160.001,1727.004,1802.343,1997.999
ENSG00000005379.17,9,3,1,58.999,59,35,144.999,122.999,160
ENSG00000005381.9,10,21,8,87,86,102,5,3,10
ENSG00000005421.9,778.999,803,774,0,0,0,1,3,3
ENSG00000005436.14,742.959,937.999,719.956,582,511,509.293,509.496,561.97,650.966
ENSG00000005448.17,211,181,144,227,229.999,273.009,485.998,438.193,495.001
ENSG00000005469.12,1016.999,1145.999,1004.07,124,116.001,111,900,946.999,935.28
ENSG00000005471.19,376.001,388.254,412.136,3,6,5,1,1,1
ENSG00000005483.23,759.117,813.787,690.37,931.998,1075.486,1001.999,1037.999,1174.725,1234.956
ENSG00000005486.17,1228.999,1086,1251.999,1365.001,1634.001,1682.999,2168.831,2072.427,2053.001
ENSG00000005513.10,1,0,2,85,72,91,354.227,313,312
ENSG00000005700.15,2880.999,3146,2707.639,1375,1530.358,1392,1122.001,1299,1206
ENSG00000005801.18,946.245,1031.113,938.924,1798.044,1647.72,1437.891,2625.828,2977.075,3286.898
ENSG00000005810.20,465.904,410.651,449.577,341.725,479.008,438.4,1928.959,2203.562,2139.389
ENSG00000005812.11,1324.173,1682.092,1375.892,547.481,643.271,631.622,827.848,927.498,882.96
ENSG00000005844.19,26,40.266,36.031,9.595,7.019,1,3.653,5.173,13.113
ENSG00000005882.12,272,203.001,220,246.037,269.635,307.602,609.347,607,614.799
ENSG00000005884.18,128.018,128,90,2656.021,3117.802,2924.982,3596.855,3434.79,3750.417
ENSG00000005889.16,802.075,955,690.999,366.006,424,429,832.108,834.034,850.001
ENSG00000005893.17,6039.196,6723.978,5848.649,3009.033,3800,3599.672,1749.545,1933.531,1891.484
ENSG00000005961.19,2,2,0,5,3,12.999,18,22.282,20
ENSG00000005981.13,2,0,1,1,0,1,42,34.999,37
ENSG00000006007.12,1718,1736.942,1685.255,1139.569,1303.478,1316.128,1814.698,1802.545,1874
ENSG00000006015.18,311.012,302.838,308.835,410.201,409.254,382.778,807.011,664.697,778.342
ENSG00000006016.12,42.208,63.348,60.269,99.131,87.858,98.274,123.101,73.695,125.035
ENSG00000006025.13,12,12,14,424,428,434.001,871.224,877,1005.001
ENSG00000006042.12,725.822,616.178,680.011,286.001,312.001,307.002,792.375,797.003,803.002
ENSG00000006047.13,3,5,2,205,165.001,154.999,265.001,275,292.001
ENSG00000006059.4,0,0,0,0,0,0,0,0,0
ENSG00000006062.18,432.887,391.84,430.975,820.535,1000.569,972.75,1038.515,1010.885,1233.529
ENSG00000006071.16,0,2,2,19,14.001,21,0,3,1
ENSG00000006116.4,0,0,0,0,0,0,0,0,0
ENSG00000006118.15,827.465,839,853.609,1864.001,1935.001,1920.984,1488.999,1473.987,1599.973
ENSG00000006125.18,1946.999,1925.999,1917.149,3288.001,4489,4367.895,5252.448,5490.574,5335.224
ENSG00000006128.12,18,12,11,22.001,19,20,0,0,0
ENSG00000006194.11,646.224,574.462,537.849,1053.576,937.228,1087.632,765.898,688.216,813.332
ENSG00000006210.7,96,89,95.343,354.649,407.997,405.001,4.001,3,3.358
ENSG00000006282.22,888,793.001,823,1398.998,1283.999,1304.654,2842.145,2754.199,2935.176
ENSG00000006283.18,2.094,2.814,0,5,4.092,5.11,10,8,24
ENSG00000006327.14,5507.685,4792.328,5268.857,3346.034,2772.999,3040.16,1690.03,1461.999,1824
ENSG00000006377.11,2,1,0,19,16,22,0,0,0
ENSG00000006432.16,361.528,304.168,349.682,380.052,482.586,396.615,457.252,552.138,568.302
ENSG00000006451.8,1314.001,1427.999,1267.936,2358.001,2362.503,2332.03,1247.001,1245,1152
ENSG00000006453.14,2015.87,2137.997,2109.535,1411.436,1541.167,1521.667,1874.675,1815.035,1835.545
ENSG00000006459.11,402.15,438,405,206,236,255.274,1206.528,1324.916,1462.961
ENSG00000006468.15,15,17,18,149,140.999,169.001,112,176,143
ENSG00000006530.18,526.832,547.672,530.327,1070.589,1088,1067.615,61.932,61.642,70.7
ENSG00000006534.17,107.094,118.092,114.995,573,649,662,152.178,159.018,148.069
ENSG00000006555.11,281,307,277,182,209,232,741.384,736.442,684
ENSG00000006576.17,208,212.999,180,450,565.998,496,1066.999,1047.226,1096.001
ENSG00000006606.9,6,12,10,30,27,27,1,0,1
ENSG00000006607.14,411.419,372.855,366.435,723.866,1030.224,921.825,564.229,700.618,724.292
ENSG00000006611.17,0,0,0,735.999,761,855,512,479.999,444.001
ENSG00000006625.18,831.087,904.999,807.625,3111.996,2702.705,2870.322,1318.694,1331.662,1238.508
ENSG00000006634.8,249.878,225.772,243.919,1035.799,973.275,954.696,733.741,727.314,796.534
ENSG00000006638.13,18.041,19.099,24.468,19.243,15.716,13.623,46.73,47.73,78.657
ENSG00000006652.15,1411.716,1591.944,1305.072,2810.91,2826.155,2891.977,2443.564,2552.256,2716.148
ENSG00000006659.13,0,0,0,0,0,0,0,0,0
ENSG00000006695.12,356.517,380.739,320.351,286.402,280.909,326.628,368.159,357.256,404.625
ENSG00000006704.11,136.999,131.379,163.002,609.001,630.801,647,929.102,892.961,881.179
ENSG00000006712.15,1899.27,1845,1935,993.001,1075.999,1239,1195,1176.001,1206.999
ENSG00000006715.16,327,423.501,283.999,357.169,468.087,439.012,1307.198,1400.681,1253.283
ENSG00000006740.18,17,10,14,1,0,0,423.001,446.004,458.265
ENSG00000006744.19,2518.542,2226.998,2314.003,1261.001,1391,1542,2548.892,2558,2706.719
ENSG00000006747.15,5.062,8,7.001,35.573,53.632,29.629,78.405,84.666,97.005
ENSG00000006756.16,923,1003.001,969.001,672,827.162,892.001,367.1,344.004,395.004
ENSG00000006757.12,619.001,628,624,450.1,480.044,459.001,282.034,307.999,241
ENSG00000006788.14,0,0,0,0,0,0,0,0,0
ENSG00000006831.10,2894.758,2711.002,2708.516,4101.591,4524,4681.64,1176,1256.003,1161.001
ENSG00000006837.12,36.846,21.23,19.771,25.33,14.509,21.52,6.295,9.559,25.557
ENSG00000007001.13,19,35,30,0,0,0,0,0,1
ENSG00000007038.11,0,0,0,0,0,0,1,0,0
ENSG00000007047.16,483.001,437.001,517,158,200.001,195.999,1061.048,1090.616,1145.167
ENSG00000007062.12,46,21,28.001,35,33.999,23,812,792.999,844.321
ENSG00000007080.11,2206.526,2053.967,2186,1297.213,1028,1294,1482.228,1404.91,1360
ENSG00000007129.18,0,0,0,0,0,0,0,0,1
ENSG00000007168.14,2797.003,3059.942,2873.507,1357.174,1887.597,1687.927,1899.948,1937.944,2087.926
ENSG00000007171.19,3,1,2,28,16,25,404,373,414.001
ENSG00000007174.18,0,3,3,1,1,0,5.474,8.149,8.427
ENSG00000007202.16,3410.869,3448.967,3304.875,2692.901,3812.938,3727.733,4891.673,5062.863,5211.891
ENSG00000007216.16,0,0,0,1,2,2,0,0,1
ENSG00000007237.19,0,1,0,16,16,18.001,4,9,5.001
ENSG00000007255.10,220,164,222,200.999,178,183,170,144,171
ENSG00000007264.15,0,0,0,2,0,6,0,0,0
ENSG00000007306.15,0,0,0,0,2,0,0,0,0
ENSG00000007312.14,0,0,0,0,1,0,0,0,0
ENSG00000007314.12,0,1,0,11,7,12,1,4,3
ENSG00000007341.19,323.946,335.284,326.748,225.8,260.482,258.638,232.984,197.765,218.762
ENSG00000007350.18,0,0,0,0,0,1,0,1,1
ENSG00000007372.25,0,2,3.762,33.203,32.562,32.828,0,1,1
ENSG00000007376.8,294,251.999,223.001,867,905.035,951,1145.973,1015,1072
ENSG00000007384.15,350,300.001,357,1103.001,1074,976.002,1775,1603,1695.995
ENSG00000007392.17,434,536.002,464.999,944.999,847.374,905.999,1655,1590.23,1762.816
ENSG00000007402.12,8,5,1,12,15.64,13,75,55.067,86
ENSG00000007516.15,27.091,10.029,37.111,143.384,165.321,193.417,233.456,275.154,264.269
ENSG00000007520.4,1060.909,918.971,1153.889,1116.616,1129.679,1254.583,532.544,453.849,469.733
ENSG00000007541.17,348.001,319.457,335.656,657.007,715.946,659.03,1053.931,933.274,1040.547
ENSG00000007545.16,350.951,303.771,332.404,440.052,555.953,476.948,1214.408,1166.876,1291.776
ENSG00000007866.22,316.119,335,318,481,501,493,962,897.001,1002
ENSG00000007908.16,3,2,4,0,0,0,0,0,0
ENSG00000007923.17,1174.759,1237.575,1183.922,1199.343,1338.732,1347.707,2053.171,2040.919,2210.501
ENSG00000007933.13,1452.003,1387.717,1437.999,1,1,0,1.109,4.001,3.142
ENSG00000007944.15,93,61,86,278,265,219,153,156,147
ENSG00000007952.18,0,0,2.643,1,1,3,1,2,3
ENSG00000007968.7,4,6,5.071,183.689,222.021,214,788.084,734.044,825.937
ENSG00000008018.9,4890.037,4630.979,4935.994,5841.963,5203.276,5670.603,3435.988,3079.643,3232
ENSG00000008056.14,0,3,8,0,2,0,0,3.161,0
ENSG00000008083.14,38,28,40,99,127,126.154,294.999,374,387
ENSG00000008086.13,136.96,125.017,114.483,78.951,102.159,98.175,145.127,149.291,137.329
ENSG00000008118.10,27,28,31,4,3,4,4,5,4
ENSG00000008128.23,1128.356,1121.597,1090.307,1037.314,983.811,1043.151,1182.008,1016.802,1051.161
ENSG00000008130.15,3092,2853,2944.032,897.001,1014.999,1020.999,1882.032,1860,1991.153
ENSG00000008196.13,0,0,0,0,0,0,0,0,0
ENSG00000008197.5,0,0,0,0,0,0,0,0,0
ENSG00000008226.20,13.481,7.919,5.507,6.2,4.178,8.125,17.363,36.059,16.028
ENSG00000008256.17,171,184,190,927.005,1108.001,1027,1099.655,1205.999,1276.094
ENSG00000008277.15,4,4,1,51,63,51,584.672,515,573.001
ENSG00000008282.10,3001.087,3578,3015.544,2564.999,2939.999,2919.923,2176.687,2233.41,2320
ENSG00000008283.16,393.001,399,364.001,1175.999,1234.951,1203,2049.567,1895.983,1970.645
ENSG00000008294.22,2233.999,2271.009,2049.115,2263.221,3015.641,2882,1805.025,1920.509,2012.61
ENSG00000008300.17,49,59,47,136.008,199.001,123,541,538,580.001
ENSG00000008311.16,223.405,298.805,256.116,44.472,45.354,38.961,296.232,320.631,304.894
ENSG00000008323.16,35,40,47,1004,1153,1170,540.999,460.999,525
ENSG00000008324.12,307,372.82,332,467.75,407,473,248,280,231.007
ENSG00000008382.16,160.999,135,135.933,86,107.499,77,564.14,493.563,489.011
ENSG00000008394.13,23287.019,25411.063,22554.207,4683.981,4141.084,4066.964,976.08,814,890.105
ENSG00000008405.12,755.36,914.001,749,282,295,363,518,556,563.003
ENSG00000008438.5,0,0,0,0,0,0,4,0,2
ENSG00000008441.19,333.001,372.001,355,330,404,443,911.498,913,930
ENSG00000008513.17,1777.976,1725,1765.999,427,541.254,547.941,66,72,66
ENSG00000008516.18,5.496,8.739,8.303,4.938,10.41,8.436,41.85,46.349,58.401
ENSG00000008517.19,6331.225,6446,7118.6,7469.004,5836.394,7143.964,2453.002,2401.439,2342.547
ENSG00000008710.20,464.007,395.26,481.231,1037.058,1244.778,1001.96,2622.722,2536.21,3002.962
ENSG00000008735.14,65,53,51.996,127.012,171.004,155.338,60.01,34,64.549
ENSG00000008838.21,809,736.057,823.022,872.001,1068.023,1008,1952.552,2005.069,2014.321
ENSG00000008853.18,260.567,275.949,271.623,208.029,185.375,214.765,389.601,366.488,406.131
ENSG00000008869.12,647,605,667,508,510,486,972,1074,1064
ENSG00000008952.17,4383.058,5092.095,4486.117,3394,3361.999,3662.297,1408.074,1503.375,1336.001
ENSG00000008988.11,13253.496,13426.087,13471.519,17404.653,13943.338,16891.509,9964.553,9585.778,10177.867
ENSG00000009307.17,12399.595,13071.726,12033.248,7313.462,8639.149,9016.645,8961.019,9299.705,9315.113
ENSG00000009335.19,1954.268,1986.811,1824.001,3190.672,4092.226,3900.998,3983.024,4209.949,4240.791
ENSG00000009413.17,708.966,739.352,659.698,353.181,440.744,404.443,1670.48,1934.838,1999.097
ENSG00000009694.14,4,10,11,0,0,0,0,0,0
ENSG00000009709.12,0,0,0,0,0,0,0,0,0
ENSG00000009724.18,552.001,533.029,524.045,23.002,24,18,296.005,272.902,332.009
ENSG00000009765.15,217.036,197.508,173.646,27,33.091,37.999,5.794,5.003,9.262
ENSG00000009780.16,177.999,202.001,164,121,104,132.001,268,275,296.999
ENSG00000009790.15,1.012,2.11,4.185,2,1,1,1,1.012,1
ENSG00000009830.13,534.352,580,586,270.002,268.002,268.997,984.999,972.001,994.33
ENSG00000009844.16,1726.15,1841.993,1696,1660.299,1665,1722.001,782.017,860.057,814.886
ENSG00000009950.16,829.545,755.618,823.021,289.001,298,222.72,1813.311,1673.536,2116.087
ENSG00000009954.11,1217.13,1261.005,1082,2648.046,3079.186,3038,3964.617,4065.163,4273.793
ENSG00000010017.13,1288.252,1416.954,1206.381,1330.725,1469.769,1467.367,2481.22,2496.064,2406.096
ENSG00000010030.14,104.999,91.001,115,67,61,64.001,644,515,645.001
ENSG00000010072.16,541.207,588.991,595.699,678.268,666.183,713.377,370.345,369.35,413.287
ENSG00000010165.20,1104.002,1131.999,1139,603.001,797.996,821,639,603.002,575.001
ENSG00000010219.14,90,81.001,88,298.999,228.783,260.999,313,334.001,328.001
ENSG00000010244.19,3135.9,3297.78,3049.011,5054.643,5103.004,5051,4589.058,4819.682,5265.591
ENSG00000010256.11,3893,3606,3786,2619.985,2720.554,2814.563,4814.815,4224.966,4343
ENSG00000010270.14,464.999,521,488,1053.999,1029.001,1177.001,730.999,701.295,701.001
ENSG00000010278.15,2378.088,2347.001,2179.013,17095.112,17017.126,18311.212,9673.465,9531.974,9574.711
ENSG00000010282.15,0,1,2,2,0,1,8.434,7,10.999
ENSG00000010292.13,261.734,296.172,203.672,4824.563,5797.919,5899.856,3100.761,3054.934,3105.686
ENSG00000010295.20,200.001,216.999,227,47,36,42,13,3,11.999
ENSG00000010310.9,37.331,59.029,39,62.627,57,37,140.027,154.03,175.817
ENSG00000010318.22,225,181,202,55.622,42.999,42,266.302,282.001,280.71
ENSG00000010319.7,5,3,4,26,20,21,541.006,549.596,562
ENSG00000010322.16,771.128,716,780.001,553.978,560.999,521,3896.848,3761.581,4190.006
ENSG00000010327.10,0,0,1,1,3,0,16,21.006,22
ENSG00000010361.14,68.837,63.541,72.687,113.101,87.928,99.319,21.327,26.342,18.225
ENSG00000010379.16,22,22,13,0,2,0,11,9,11
ENSG00000010404.18,2039.528,2349.693,2100.986,2631.856,3031.954,3009.665,2569.276,2654.192,2761.889
ENSG00000010438.17,358,288,378,1963.999,1786,2039,13,25,20
ENSG00000010539.12,266.017,240,232.015,326,334,319,221.005,208.837,214.067
ENSG00000010610.10,2,2,5,1,4,5,6,8,10
ENSG00000010626.15,42.317,34.079,37.36,94.005,87.367,88.283,55.069,36.001,52.016
ENSG00000010671.18,8.13,3.986,4.519,10.049,7.756,9.037,29.539,22.971,30.727
ENSG00000010704.19,316.088,352.182,323.998,79.887,66.101,71.954,394.204,392.824,421.313
ENSG00000010803.17,128,123.999,134,159,161.001,156.001,452.743,402.473,474.999
ENSG00000010810.18,8,1,4,353.999,344.001,335,928.994,926.129,915
ENSG00000010818.11,813,777,762.999,334,405.738,396,248.002,259.001,233
ENSG00000010932.17,19,22,20,0,0,0,0,1,0
ENSG00000011007.13,2457.066,2638.031,2551.116,1249.68,1282.23,1407.302,1476.645,1579.148,1589.965
ENSG00000011009.11,2803.001,2513.17,2806.466,1346.999,1232.999,1420.026,2255.019,2205.376,2290.999
ENSG00000011021.23,265.306,286.988,283.789,261.805,224.001,274.005,428.999,458.206,506.563
ENSG00000011028.14,0,0,0,3,6,7,19,31,23
ENSG00000011052.21,346.281,301.96,381.346,351.647,234.141,441.988,53.158,44.694,42.922
ENSG00000011083.9,0,0,0,67,52,58,1,0,1
ENSG00000011105.14,176,197,191,166,207,176.001,406,440.999,407.999
ENSG00000011114.15,587.642,698.995,585,529.399,541.321,532.001,904.824,1003.848,1124.038
ENSG00000011132.12,518,455,529.946,128.176,150,131.784,299,255.001,273
ENSG00000011143.19,198.352,209.082,235.981,315.264,296.413,296.913,365.302,323.976,380.618
ENSG00000011198.10,1632.047,1718.001,1674,531.001,574.999,519.999,419.001,426.001,519.986
ENSG00000011201.12,0,1,0,0,1,0,0,0,0
ENSG00000011243.19,1248.261,1189.321,1102.16,767.497,698.238,843.568,1483.037,1414.619,1498.451
ENSG00000011258.16,229.002,210,200.001,503.001,634.999,569.553,426.977,467.002,528
ENSG00000011260.14,814.001,794.229,751,1386,1453.001,1591.683,768.001,761,806.001
ENSG00000011275.19,408.261,431.894,425.001,1503,1601.231,1497,1949.471,1766.625,1870.604
ENSG00000011295.16,1664,1917.012,1661.263,1834.021,1974.767,1977.746,1534.131,1637.782,1522.508
ENSG00000011304.22,3044.832,2991,2707.001,4352.885,4532.885,4609.999,6930.205,6868.913,7220.622
ENSG00000011332.22,1,0,1,35.001,59.999,56,104,122,123
ENSG00000011347.10,84.999,88,101,197.999,258.423,229,404.054,383.001,448.001
ENSG00000011376.12,203,171,176,330,532.999,487.001,827,900.001,879.014
ENSG00000011405.14,1322.001,1477,1260.432,1788,2254.725,1874.012,1436.333,1602.393,1609.322
ENSG00000011422.12,23,15,14,2139,2134.999,2111.847,705.999,702,709.999
ENSG00000011426.11,54,73,52,4014.005,4497.811,4522.716,3065.016,3349.018,3350
ENSG00000011451.21,891.999,736,852.176,948,1025,977,1723.234,1674.5,1712.838
ENSG00000011454.18,340,345.001,331.033,611.042,693.999,684.051,1042.006,1101.211,1050.065
ENSG00000011465.18,1,0,1,1,0,0,0,0,0
ENSG00000011478.13,100.005,89.772,108.044,169.508,183.009,172.305,221.121,175.321,197.692
ENSG00000011485.15,1281.882,1222,1306.141,1038,1138.585,1264.999,2027.678,2058.005,2155
ENSG00000011523.15,360.942,438.804,402.043,566.502,691.378,629.005,554.414,581.343,602.108
ENSG00000011566.15,580,675.001,528,600,781.001,717,640,616,669
ENSG00000011590.14,1,1,0,4,9,5,5,4,14
ENSG00000011600.12,0,0,0,0,0,0,0,1,0
ENSG00000011638.11,74,84,70.001,1132.926,1297,1259.265,494.012,468.018,433.688
ENSG00000011677.13,0,0,0,0,0,0,0,1,2
ENSG00000012048.25,51,25.968,44,2003.001,2566,2395.968,484.495,589.002,543.102
ENSG00000012061.17,1511.865,1440.725,1465.79,787.413,693.178,847.793,826.949,797.835,833.828
ENSG00000012124.17,14.001,4,7,374.002,450.001,419.999,8,8,2
ENSG00000012171.20,30.999,37,42,2006,1935.001,1803.001,7658.732,6900.697,7696.841
ENSG00000012174.12,887.343,934.906,828.753,509.471,749,693,401.013,428.035,458.222
ENSG00000012211.13,84.822,69.635,80.555,332.263,333.244,362.426,348.513,339.9,394.683
ENSG00000012223.13,0,2,2,0,0,0,3,0,1
ENSG00000012232.10,744,687.914,771.719,230.277,252.906,262.341,993.226,990.064,1137.782
ENSG00000012504.15,754,771,658,1,0,1,0,0,0
ENSG00000012660.14,2623,2652,2436.381,2086,2340.385,2398.001,0,0,0
ENSG00000012779.12,8,1,8,172.001,202,193,48.001,49,61.999
ENSG00000012817.16,295.204,227.001,257,194,215,224.999,0,0,0
ENSG00000012822.16,638.001,650.001,587.998,1328.001,1453,1465.292,1986,1982,2135.001
ENSG00000012963.15,782,800,748,757.933,894.881,805,1521.908,1536.952,1659.431
ENSG00000012983.12,1063.487,1163.078,970.002,928.055,1008,927.058,1708.282,1804,1855.001
ENSG00000013016.16,5,3,6.001,0,0,0,2,9.002,1
ENSG00000013275.8,4586.005,4661.999,4831.999,3076.175,2839.376,3195.986,3784.038,3614.035,3605.01
ENSG00000013288.9,305,301.021,265,463.842,456,453,792.019,850.021,830.98
ENSG00000013293.6,8.969,4.01,2.952,5,9.021,5.046,14.497,17.044,19.902
ENSG00000013297.12,5,2.004,4.002,2.001,0,11.016,0,0,0
