,Hep_D1_1,Hep_D1_2,Hep_D1_3,SW1116_D1_1,SW1116_D1_2,SW1116_D1_3,SW48_D1_1,SW48_D1_2,SW48_D1_3
ENSG00000169067.4,88,71,75,7,5,13,0,4,1
ENSG00000169071.15,5,1,2,3,3,1,81,121,116.001
ENSG00000169075.7,0,1,0,0,0,0,3,7,12
ENSG00000169083.18,530,526,480.999,0,0,0,0,0,0
ENSG00000169084.15,75.251,59,78,82,71.827,81.922,106.004,99.425,114.192
ENSG00000169085.14,29.617,37.605,44.137,24.513,18.934,29.386,0,0,0
ENSG00000169087.11,99.999,114.001,109,287,314,316,247,265,286
ENSG00000169093.16,240.908,146.793,206,380,361,362,519.694,465.27,466.002
ENSG00000169100.14,2490,2428.999,2396,7160.49,7294.553,7908.167,7802.399,7099.791,7588
ENSG00000169105.8,143,150,121,273,247,271,640,537,572
ENSG00000169116.11,1,0,0,45,60,52,525,534,557
ENSG00000169118.18,361.316,395.381,382.018,388.351,477.843,446.883,1823.481,2127.134,2201.944
ENSG00000169122.12,28,53,52,1,0,0,0,0,0
ENSG00000169126.16,2,2,2,31.001,37,39.999,1,0,2
ENSG00000169129.16,0,1,2,1034,1070,1008,27,9,11
ENSG00000169131.13,189.449,200,179.207,705.982,624.708,627.663,206.362,186.223,205.972
ENSG00000169136.13,2854.602,2837.539,2891.045,317.636,322.79,424.07,1812.465,1732.006,1982.081
ENSG00000169139.12,1498.604,1823.04,1622.589,1681,1476,1612.036,623.999,634.069,677
ENSG00000169154.7,0,0,0,0,0,0,0,0,0
ENSG00000169155.10,1394.349,1543.511,1322.003,411.174,435.009,381.999,655.885,589.171,693.29
ENSG00000169164.8,0,0,0,0,0,0,0,0,0
ENSG00000169169.15,7,9.076,9.002,6,5.004,16.999,14.98,11.003,14.003
ENSG00000169174.12,212.001,159,182,66,66.417,65.999,1131,1081.185,1198.998
ENSG00000169180.12,1491,1462.999,1442,1886.999,2207.002,2162.997,3140.496,3142.204,3273.999
ENSG00000169181.13,0,0,0,0,0,0,0,0,0
ENSG00000169184.7,23,44,35,0,0,1,6,8,3
ENSG00000169188.5,672,600,632,958,985,950,528,513,495
ENSG00000169189.17,701,595,627.999,1140.001,1057,1113.999,233,229.002,237.001
ENSG00000169193.12,193.999,225,161.999,62,85,63,283,287,261
ENSG00000169194.10,0,0,1,2,1,2,6,14,13
ENSG00000169203.18,184.098,196.248,180.146,1402.183,923.713,867.344,1356.945,1125.451,1374.625
ENSG00000169208.3,8.734,9.07,4,12.071,11.747,6,24.554,31.561,23.335
ENSG00000169213.7,383.824,399.594,391.35,411.239,476.112,459.313,26.086,20.657,33.271
ENSG00000169214.5,0,0,0,0,0,0,0,0,0
ENSG00000169217.9,1818.023,1852.992,1939.184,2172.705,2299.02,2515.339,1887.014,1868.536,1854.774
ENSG00000169218.14,0,0,0,0,0,0,0,0,0
ENSG00000169220.18,707,657.999,679.002,285.999,268.999,278,219.999,167.596,222
ENSG00000169221.14,437.011,409.057,442.887,1025.946,1125.413,1100.605,1459.822,1320.604,1378.003
