"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000971.17",893.277292113289,-9.2561507312011,0.228377390075847,0,0
"ENSG00000002933.9",512.55444418168,-5.40450299334392,0.105973860968342,0,0
"ENSG00000010292.13",3171.77184175222,4.62108815129788,0.109522653035754,0,0
"ENSG00000011422.12",1002.20634495425,6.84426100792878,0.16774122042744,0,0
"ENSG00000011426.11",4025.84577551836,5.67207308258072,0.142154996129725,0,0
"ENSG00000013810.21",1957.57372100541,4.93078838660868,0.0937923047073252,0,0
"ENSG00000017483.16",1591.52701164669,6.54697191997849,0.126617115544176,0,0
"ENSG00000026025.16",3961.22820624574,-7.46924377165336,0.124502895213939,0,0
"ENSG00000035115.22",654.082150809267,3.32048591258707,0.0759698346387011,0,0
"ENSG00000035862.13",2433.6893063663,6.41768722188295,0.118004177853443,0,0
"ENSG00000050344.9",2299.02239231802,4.91448161561861,0.1120193151392,0,0
"ENSG00000051523.12",2120.38742773178,8.98307447852476,0.216862016579999,0,0
"ENSG00000062038.15",985.998112382572,7.67675766813483,0.157871374581144,0,0
"ENSG00000065911.13",3255.42818697782,6.26356472331129,0.107244310110439,0,0
"ENSG00000068489.13",1307.68665214588,6.17280514603877,0.128572525993098,0,0
"ENSG00000070814.22",3754.57019754866,4.21820138991264,0.110263650013451,0,0
"ENSG00000071282.12",432.654638486172,-4.02613575806952,0.0863484293794522,0,0
"ENSG00000071539.14",1053.05761337171,4.02823690591963,0.104533431967522,0,0
"ENSG00000073712.15",1163.03912160221,-4.0778617831642,0.0972452827431109,0,0
"ENSG00000073792.16",1220.22941474566,5.30479149084936,0.140089505818091,0,0
"ENSG00000076382.17",1471.01891412608,3.96399379298584,0.0849677230580868,0,0
"ENSG00000080986.13",878.487414338514,6.45242450835914,0.17183534288754,0,0
"ENSG00000081059.20",1004.64333731728,5.36116256844853,0.10306607077402,0,0
"ENSG00000082458.12",747.133562250079,5.45497671314478,0.0928103415302832,0,0
