"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000084207.18",7550.18169536368,5.96452304737269,0.140447264758239,0,0
"ENSG00000085999.13",414.405040778149,5.45953409507507,0.13981610977045,0,0
"ENSG00000087253.13",1160.01313226592,5.80435393222035,0.123441499459733,0,0
"ENSG00000088367.23",1416.61544233223,6.45982938280079,0.15446626376195,0,0
"ENSG00000090382.7",2452.62180687036,9.05068699110151,0.188862546093163,0,0
"ENSG00000091513.16",3332.20356647722,-7.06953474281603,0.147022780630448,0,0
"ENSG00000093009.11",677.164150350012,5.25389807144882,0.127826800088451,0,0
"ENSG00000094804.12",1976.84450553149,4.82722038511592,0.113271711830113,0,0
"ENSG00000099282.10",477.931756473552,6.0427260420002,0.151863705954366,0,0
"ENSG00000099812.9",1018.46813518951,8.11151703080397,0.184171573130187,0,0
"ENSG00000101144.13",1250.72266263429,6.30118859709961,0.153513247386273,0,0
"ENSG00000101412.13",1168.9648886505,5.39968281475053,0.137588212396525,0,0
"ENSG00000102554.14",1985.30697706475,4.38599369136905,0.115200468258622,0,0
"ENSG00000103187.8",3967.36947657098,6.21074740166283,0.131416056797013,0,0
"ENSG00000103534.17",663.941608077269,8.47132269824743,0.209506383946751,0,0
"ENSG00000105011.9",946.942185259823,6.00647466589616,0.159882796481372,0,0
"ENSG00000105281.12",9212.61944680079,10.2042616254341,0.225561719515199,0,0
"ENSG00000105499.14",198.287071139784,-5.97313344926302,0.138223224814678,0,0
"ENSG00000105963.15",1292.08691425422,8.65203168314673,0.189635985700062,0,0
"ENSG00000106348.19",1626.59671966495,4.32669676699975,0.0821039002607189,0,0
"ENSG00000106366.9",8927.22105011527,-7.85033760123186,0.164717400238299,0,0
"ENSG00000106565.19",948.639294296688,-6.02142515617609,0.157995185086189,0,0
"ENSG00000106853.20",5886.94315901983,-5.7908310774555,0.134296501299215,0,0
"ENSG00000108176.15",187.372060338311,-4.25736247399583,0.10320367330452,0,0
"ENSG00000108244.17",14007.2129583658,13.9812563792353,0.264306834852446,0,0
"ENSG00000108375.13",2152.60735237929,5.16995195030126,0.131350070377376,0,0
"ENSG00000108679.13",3871.42721213024,3.19538638512066,0.0827360162135028,0,0
"ENSG00000109072.14",2772.63559234679,-11.7845997969378,0.234570478614554,0,0
"ENSG00000109586.12",859.061223857446,5.30170786954784,0.133417188336035,0,0
"ENSG00000110492.17",2622.22143393981,8.06970819412733,0.188897118475282,0,0
"ENSG00000110660.15",1050.10009818025,4.81026908828959,0.109451424609867,0,0
"ENSG00000111206.13",2208.68336997726,7.0953613265036,0.157900717218297,0,0
"ENSG00000111445.14",984.522436852087,2.84343142317408,0.0708235260933851,0,0
"ENSG00000111665.12",880.984842285171,7.07694969475694,0.156204497335504,0,0
"ENSG00000113889.14",848.741497678952,-10.4855589961027,0.255609934421892,0,0
"ENSG00000113905.5",283.572890359135,-5.96416748266843,0.133707461982565,0,0
"ENSG00000114120.14",1989.640337206,7.38693049423647,0.169378659245114,0,0
"ENSG00000114378.17",675.970643056394,-8.75384877213764,0.177112705699488,0,0
"ENSG00000114771.14",605.135429347401,-10.0362131604625,0.261032875633944,0,0
"ENSG00000115226.10",324.676143536982,-5.65664782077804,0.146557341561571,0,0
"ENSG00000115718.18",726.193888300835,-5.50876553840448,0.128005685680838,0,0
"ENSG00000117228.11",2019.3551503167,-4.67273571700413,0.0967930732994811,0,0
"ENSG00000117394.24",9346.13503010835,6.06527545418113,0.150963947503777,0,0
"ENSG00000117525.14",711.92073453975,5.63471737439716,0.142313018406489,0,0
"ENSG00000118257.17",584.452271262311,6.89434723698301,0.178205866708236,0,0
"ENSG00000118804.9",2049.52483148131,-5.23942266319196,0.100316053026971,0,0
"ENSG00000119138.5",1125.1269572959,-6.4693668773713,0.161425045678895,0,0
"ENSG00000119686.10",383.586085316883,-4.19318939305833,0.099864113579883,0,0
"ENSG00000119888.11",7249.78563268725,7.85437771452879,0.153375595945632,0,0
"ENSG00000120158.12",967.563315536446,-2.42693001887778,0.0634199664418976,0,0
"ENSG00000120885.22",10594.9299264286,-4.76714602645996,0.0909519314517097,0,0
"ENSG00000122194.20",338.927338767755,-8.45831340380062,0.210473627462736,0,0
"ENSG00000122786.20",4481.77396754724,-6.44165828497748,0.118116626623491,0,0
"ENSG00000124225.16",2673.90377154766,6.292083089691,0.108962043088891,0,0
"ENSG00000125378.16",6090.39850228446,6.76324204037721,0.156126931865621,0,0
"ENSG00000125398.8",2351.18677885666,6.17939766704619,0.107126191257255,0,0
"ENSG00000125505.17",1224.3527932451,2.96868450165877,0.075213286397297,0,0
"ENSG00000125845.7",405.141001333475,-7.83389140732018,0.175408709867598,0,0
"ENSG00000127324.9",1287.16769642701,6.43292863831486,0.167608203860041,0,0
"ENSG00000127564.17",845.260214545599,6.08769964528655,0.152802565127509,0,0
"ENSG00000128567.17",1944.37611735346,6.29569685171109,0.148719225370613,0,0
"ENSG00000128739.23",328.618952137314,-6.8008203152495,0.136755144446213,0,0
"ENSG00000129353.15",1436.23478700585,5.49054114938964,0.0958196480967316,0,0
"ENSG00000129354.12",885.195772663809,7.21010517410232,0.161151157232599,0,0
"ENSG00000129451.12",1320.79293246287,8.13596073279761,0.211443845407431,0,0
"ENSG00000131620.18",2096.53819428765,5.54575437892433,0.144446723192749,0,0
"ENSG00000131747.15",5915.2221368145,6.58550250292007,0.164458620518622,0,0
"ENSG00000131981.16",5748.05345362576,6.13756980111752,0.124218830782325,0,0
"ENSG00000132359.17",774.081996697892,4.35301104555992,0.111743505540475,0,0
"ENSG00000132386.11",756.281529286088,-7.14597868441056,0.158018386185801,0,0
"ENSG00000132470.14",3801.1712382054,8.81268715101792,0.190085588118157,0,0
"ENSG00000132840.10",1248.41220555625,-10.2755522564302,0.234515197157049,0,0
"ENSG00000134339.9",3859.13327105254,-7.94565436681116,0.105241475735804,0,0
"ENSG00000135046.14",7760.50649794341,4.18936964827388,0.106849295151296,0,0
"ENSG00000135373.13",2205.59260683037,6.47004916467005,0.109924257361267,0,0
"ENSG00000135414.10",496.994717235355,4.4832882044794,0.117395098733061,0,0
"ENSG00000136193.17",2170.17707575538,8.50492082385503,0.216630057935381,0,0
"ENSG00000136305.12",236.733344711008,-7.3931129230271,0.192046643212037,0,0
"ENSG00000136881.12",3102.43732958091,-10.7388771505243,0.253482329897809,0,0
"ENSG00000137648.19",495.957396321952,8.15229505057614,0.193393150565755,0,0
"ENSG00000137673.9",5202.50997627035,11.1939247142383,0.209185660998166,0,0
"ENSG00000137699.17",1495.82870541719,6.89389881941153,0.175331993567069,0,0
"ENSG00000137807.16",1799.85921914225,4.51478473236006,0.115799778145191,0,0
"ENSG00000138031.15",1290.19119993392,7.40912747387618,0.184185566192576,0,0
"ENSG00000138160.7",1533.72190471762,5.38434115746735,0.142949878464493,0,0
"ENSG00000138180.16",1341.86782641102,7.94380303653394,0.172701494384937,0,0
"ENSG00000138356.14",3191.08378036298,-9.56267916151595,0.192055663053536,0,0
"ENSG00000139629.16",719.10515278875,7.18647866350625,0.158439193873506,0,0
"ENSG00000139926.16",421.513826465107,-4.40999220307611,0.108334602753913,0,0
"ENSG00000140525.20",2182.19529679304,4.54186478410219,0.104569743414997,0,0
"ENSG00000141485.17",273.353898598839,-6.38518014037091,0.167216782955846,0,0
"ENSG00000141646.16",628.406294421969,-7.5135307436165,0.17363177739877,0,0
"ENSG00000141756.20",1925.6113286631,10.5046478229707,0.274133191198884,0,0
"ENSG00000142494.13",171.206585911611,-5.71675931287332,0.150350837706218,0,0
"ENSG00000142910.16",2865.32628287881,8.78506063009958,0.186828339058793,0,0
"ENSG00000142945.13",1102.23792630658,6.8013604082431,0.173168573101669,0,0
"ENSG00000144481.17",307.569393712856,-7.18181388696312,0.165360843539358,0,0
"ENSG00000144645.16",569.276222126766,5.58017409321771,0.145451774836118,0,0
"ENSG00000144852.20",325.523104502094,-6.85877803787417,0.142234028004002,0,0
"ENSG00000145192.13",1103.81774720504,-10.6704235780797,0.262602502222647,0,0
"ENSG00000146670.10",1510.11438748142,5.58667465417456,0.140719592023528,0,0
"ENSG00000147065.18",5934.9656307941,-10.9128548201168,0.193063133700477,0,0
"ENSG00000147394.20",450.35492104796,5.62276603566117,0.148073702464377,0,0
"ENSG00000148346.12",2770.87080204898,7.86395516345816,0.145117504012279,0,0
"ENSG00000148677.7",6610.29993579529,-10.4214450129452,0.139628669272592,0,0
"ENSG00000149131.17",1431.01637716345,-7.67507405414811,0.123603216631077,0,0
"ENSG00000149328.16",1481.48313045195,7.06823687274678,0.153841802387726,0,0
"ENSG00000149418.11",3178.88198109667,4.56365235694046,0.113768150904584,0,0
"ENSG00000149948.14",1817.65929247363,8.72820340888127,0.217878670456909,0,0
"ENSG00000151611.17",207.078990811031,-3.41741864037909,0.0907025872896663,0,0
"ENSG00000151632.18",27152.3873394524,-12.205145761267,0.246207586358268,0,0
"ENSG00000154153.15",509.012404931123,-4.73586768965881,0.115896686425395,0,0
"ENSG00000155760.3",809.827708054823,7.82925030493528,0.198349875042754,0,0
"ENSG00000156504.17",2814.16508037451,3.63279869874815,0.0790800393100336,0,0
"ENSG00000156535.15",1298.41178032575,-6.24054643741048,0.161942352636982,0,0
"ENSG00000157399.17",383.453781518756,-3.53546279165124,0.0611007715780432,0,0
"ENSG00000158104.11",2711.28184355311,-9.69980166467634,0.21930065043413,0,0
"ENSG00000159176.14",3030.06738661298,-2.86131497976789,0.0742898550952358,0,0
"ENSG00000159259.8",727.665610936302,3.23276459474365,0.083973313238395,0,0
"ENSG00000159842.16",1431.50396009016,5.88234882043924,0.143340517923309,0,0
"ENSG00000161249.21",1218.78761723434,5.84618345799925,0.135567989460359,0,0
"ENSG00000161638.11",1972.74209311048,-7.7289144178855,0.199311272402173,0,0
"ENSG00000162073.14",864.832703130786,4.34185311152278,0.115693499845028,0,0
"ENSG00000162645.13",1160.82144005534,-4.39020636684397,0.113540625387939,0,0
"ENSG00000162896.6",142.553760034287,-6.21537108127479,0.163858305142207,0,0
"ENSG00000163624.6",429.151256850231,5.17535517750637,0.108328689302912,0,0
"ENSG00000163631.18",49104.2576629497,-18.0916833460446,0.464929106447961,0,0
"ENSG00000163814.8",1830.97799193841,8.67484206400456,0.226353772238479,0,0
"ENSG00000164045.12",963.54205306895,4.34398898807032,0.113414602358208,0,0
"ENSG00000164266.11",293.118844931929,-5.0160865407331,0.119748009452992,0,0
"ENSG00000164379.7",1174.77159160803,8.14370603612796,0.211098571592391,0,0
"ENSG00000164649.20",1608.45372141018,5.26036630493638,0.127797543929602,0,0
"ENSG00000165029.17",268.832846548333,-7.36349628445972,0.188530355922879,0,0
"ENSG00000165410.15",2116.68236827501,-5.26929749915395,0.117336195216673,0,0
"ENSG00000165424.7",381.160189982543,-4.04864888968436,0.105017361638077,0,0
"ENSG00000165480.16",960.885234739613,6.29993789977036,0.140084491276478,0,0
"ENSG00000165949.13",532.16126986441,6.77191502035208,0.172630194782175,0,0
"ENSG00000167244.22",467.934093674328,-6.84271440184526,0.182108696444922,0,0
"ENSG00000167900.12",2148.99134408252,5.26962184408827,0.119089872780202,0,0
"ENSG00000168005.9",606.897551470455,3.14130097388788,0.0801555193392493,0,0
"ENSG00000168234.13",669.734413768304,-3.72483627548484,0.0745603674211103,0,0
"ENSG00000169247.14",384.73387894472,5.87494887886104,0.152427568848151,0,0
"ENSG00000170271.11",536.956990440526,-6.45564391693466,0.166393611730002,0,0
"ENSG00000170312.17",2195.8575359995,7.46939170004937,0.153315733537997,0,0
"ENSG00000171345.13",7566.91028238158,8.90219905702413,0.157545099160483,0,0
"ENSG00000171503.13",470.244931763324,-2.39282486907278,0.061500620336884,0,0
"ENSG00000171606.18",336.280697608866,-5.41442575556373,0.138396651180753,0,0
"ENSG00000171792.11",856.611814940452,4.37546797739795,0.0878848255462262,0,0
"ENSG00000172927.9",855.740967862517,5.5644285465407,0.109879865916938,0,0
"ENSG00000173281.5",540.667300785015,-4.52802472928983,0.117298379115522,0,0
"ENSG00000173432.13",10670.1844158695,-8.80925808616515,0.1198759877186,0,0
"ENSG00000175003.15",373.65582668195,-7.63545119086596,0.186193299904526,0,0
"ENSG00000175029.17",1190.58739899733,3.91311213555769,0.101920318310848,0,0
"ENSG00000175063.17",2661.11314855732,8.63294810144788,0.211134967632897,0,0
"ENSG00000175832.13",1638.36158659169,8.58931534307819,0.191775776261284,0,0
"ENSG00000176046.9",972.16271909926,-9.23798528956468,0.216129854007986,0,0
"ENSG00000176171.12",936.932115474099,-6.79460608856565,0.170976502208009,0,0
"ENSG00000176919.13",283.307193619478,-7.11574107585447,0.154614461220474,0,0
"ENSG00000178623.13",793.338340054868,6.82135116969155,0.17586567977124,0,0
"ENSG00000178999.13",1174.83073824951,6.85034976771314,0.182565393056751,0,0
"ENSG00000179348.13",592.01140218862,7.17562497793589,0.169713555622812,0,0
"ENSG00000179761.12",424.042304304993,-3.7349598259379,0.0814190479453086,0,0
"ENSG00000180354.16",630.58577318709,2.459900542397,0.0648911787152526,0,0
"ENSG00000181333.12",351.110573026179,7.52417307660789,0.20039353007444,0,0
"ENSG00000183742.13",737.563511116245,7.00374933352761,0.158207298120203,0,0
"ENSG00000183779.7",1578.37739056811,4.46509628155697,0.116197795673385,0,0
"ENSG00000184363.10",2020.61432830705,9.66618298958706,0.202759105019322,0,0
"ENSG00000185201.18",1245.25984757375,-8.00642532405014,0.186893876091419,0,0
"ENSG00000186185.14",697.336984769766,5.66889302811566,0.145785409377531,0,0
"ENSG00000186854.11",388.362628227838,4.96573328203462,0.12466305060571,0,0
"ENSG00000188112.10",870.605704708029,4.45033466491159,0.0900355177910428,0,0
"ENSG00000188761.13",1167.31830555394,6.53395545780156,0.154894726167025,0,0
"ENSG00000196136.18",9916.86380542232,-12.1505659205693,0.150915908871191,0,0
"ENSG00000197249.14",26746.4392572646,-6.83568091662269,0.133144406046682,0,0
"ENSG00000197457.10",749.7931854026,5.97493783910345,0.157028502123479,0,0
"ENSG00000197601.14",2167.10028578264,5.94463547721012,0.148226868022478,0,0
"ENSG00000198435.4",1084.95167132263,6.85254689699317,0.164055965635373,0,0
"ENSG00000198734.12",360.329179421747,-8.35288485725946,0.199509157755593,0,0
"ENSG00000198796.7",404.059175390959,-5.74341180353823,0.151094233849512,0,0
"ENSG00000198948.12",361.131932275941,-6.69341896358833,0.13628616316813,0,0
"ENSG00000203499.12",465.860441238578,5.66634415691535,0.146003911022288,0,0
"ENSG00000213625.9",1727.71776279666,-3.34257969432613,0.0689218221269866,0,0
"ENSG00000214274.10",258.959749267269,-7.7106759353035,0.198480113503378,0,0
"ENSG00000227036.10",789.19034658657,7.9266906085582,0.189924571599055,0,0
"ENSG00000229656.9",140.709036336588,-5.65983342345701,0.134460065417413,0,0
"ENSG00000234906.11",1940.73211562402,-9.53008017348301,0.134559124879392,0,0
"ENSG00000250722.6",2747.80768394935,-8.81931503545594,0.200984341464498,0,0
"ENSG00000257017.10",23801.7085168554,-16.4725117769872,0.379145623856172,0,0
"ENSG00000258947.8",1259.76763670986,5.79525176446915,0.148693581985244,0,0
"ENSG00000260604.3",887.288013574376,-5.99514289239616,0.160228296139793,0,0
"ENSG00000271601.4",272.747368851086,-6.35418688161266,0.158589257494393,0,0
"ENSG00000275832.5",1067.32970068472,7.60158116964066,0.178863326886716,0,0
"ENSG00000130203.10",5021.4027137193,-6.48393452155466,0.17354275557152,1.06752852755258e-306,1.16842719160836e-304
"ENSG00000103942.13",302.229481710101,-7.71302975279863,0.206601770361137,2.48614686648399e-306,2.70864560669088e-304
"ENSG00000143476.18",681.67658464558,4.70357511536623,0.126054221376519,2.85342949860249e-306,3.09460292334739e-304
"ENSG00000117650.13",671.36675641273,6.81738897022162,0.182399367904832,6.39230608053674e-306,6.90107553267401e-304
"ENSG00000144354.15",1025.39891166689,9.18588413074315,0.245151109983385,2.30971543743951e-305,2.48226476717764e-303
"ENSG00000025423.11",541.780386098129,-6.79433255112588,0.181960637751113,1.78236657600805e-303,1.9068913759805e-301
"ENSG00000101057.16",2103.47593619403,6.55134883746214,0.176537665431741,3.31970534673312e-303,3.53570949283669e-301
"ENSG00000126218.12",177.499985401962,-5.83560781072904,0.157259661630996,7.81623893234263e-303,8.28765584294954e-301
"ENSG00000088325.16",3836.24625183821,4.7144401871681,0.12722405291826,1.02631998312294e-301,1.08338337418458e-299
"ENSG00000160352.16",441.847983231122,4.65011382307444,0.125494358282513,1.50178172288015e-301,1.5782662699171e-299
"ENSG00000174371.17",711.003264545907,6.38268581613574,0.172669212052057,3.44837435596318e-301,3.60803256953662e-299
"ENSG00000111319.13",1446.40459368672,6.10440836053455,0.165544793619998,4.01182107841138e-299,4.1791562470767e-297
"ENSG00000072071.17",952.929123272875,6.79651083964739,0.183900361132656,4.22730025509301e-299,4.38439337810978e-297
"ENSG00000178772.7",732.986851245883,-10.654401167326,0.287517000051553,3.11783684347426e-298,3.21964099431987e-296
"ENSG00000137269.15",463.327760506578,3.17563017466705,0.0862573645936878,9.56854200065881e-298,9.83820091158646e-296
"ENSG00000170190.16",251.064320663742,7.11319940920176,0.192870618213706,1.41025384903445e-297,1.44374737794901e-295
"ENSG00000136167.15",316.094655981511,-7.41655071213033,0.200574292652363,2.18478105147781e-297,2.22707016110083e-295
"ENSG00000167642.13",3214.93267827705,5.84079886876455,0.159007747505626,2.10823603918362e-296,2.13985957977137e-294
"ENSG00000167657.14",1254.47643360857,-4.10455463784418,0.111707797808875,2.91061590803988e-296,2.94170376305766e-294
"ENSG00000163898.10",399.865999209164,4.34111146468647,0.118358805489012,4.13109711750475e-295,4.15752913719726e-293
"ENSG00000108861.9",1925.4423495825,-2.25334029607085,0.0614299113982538,6.11475457140791e-295,6.12791290402993e-293
"ENSG00000166278.16",522.640062313767,-6.49399014247837,0.177326368080006,1.67636620230542e-294,1.67291486012421e-292
"ENSG00000115339.14",408.133492064734,7.18866015163241,0.196464060906787,2.31301179439638e-294,2.29859176270747e-292
"ENSG00000087077.14",2316.81869470837,-6.553971410079,0.181559202290099,2.7343329941846e-294,2.70596428936993e-292
"ENSG00000163013.12",555.69199608828,6.76352800019742,0.184649612505734,4.68382557791567e-294,4.61599756435996e-292
"ENSG00000004799.8",198.249578298345,-4.27338644018305,0.116337569624208,4.89755288924943e-294,4.80668506911418e-292
"ENSG00000161714.12",1714.8876820267,4.14377432959082,0.113453614884942,4.92732419894372e-293,4.81600317074537e-291
"ENSG00000108242.13",1472.384826763,-10.9326525955178,0.299208537288219,1.31846950465937e-292,1.28340037726084e-290
"ENSG00000111424.12",666.306049444588,3.75842811824291,0.103037171318595,8.84591691138418e-292,8.575484594379e-290
"ENSG00000167513.9",773.921999881995,4.45539782710371,0.122326658528013,9.62257892572028e-292,9.29048260425945e-290
"ENSG00000169136.13",2163.52846652797,-4.26942076693277,0.117526599643155,1.03163783151416e-290,9.92001220092829e-289
"ENSG00000187134.14",21937.5863223105,-10.3469367708451,0.284635030025162,1.4902453394458e-290,1.42721036520876e-288
"ENSG00000167772.12",1320.45267357229,-10.2439001124463,0.280650313768747,2.85916338831126e-290,2.72722849942895e-288
"ENSG00000080561.14",222.816312989833,-4.9695101032141,0.13636316407436,4.60176213376086e-289,4.37185809755816e-287
"ENSG00000159674.12",428.887725747752,-3.92274154384717,0.108236338867198,1.22241909784774e-288,1.15672015908293e-286
"ENSG00000135744.9",2401.22191257226,-8.30094043434898,0.229434305705275,1.44970865089818e-288,1.36635040347154e-286
"ENSG00000065618.21",3874.11173829331,9.06758865708781,0.249838688876083,6.24181399459607e-288,5.85965708243681e-286
"ENSG00000182010.11",473.234447135953,8.24268506289477,0.227342299088606,1.17728536436826e-287,1.10085451531931e-285
"ENSG00000135476.12",790.021811312044,5.48023287379352,0.151854781323838,5.22008191732155e-287,4.86204571052173e-285
"ENSG00000259207.10",330.846853349822,-8.3649245536716,0.231323131636982,2.02481076269445e-286,1.87856564159203e-284
"ENSG00000188807.13",530.992763705128,3.07266258843798,0.0851924551676642,3.13166791134767e-286,2.89417294017193e-284
"ENSG00000159403.18",1077.45720654855,-6.33448060300701,0.177299425506817,1.08830581651239e-285,1.00187408713123e-283
"ENSG00000166886.13",493.284659571427,2.8806260361695,0.0799509553090963,4.76920718341391e-285,4.373491884682e-283
"ENSG00000198758.11",814.426862126244,8.94514975408793,0.248451768153942,6.66780969025165e-285,6.09104415204488e-283
"ENSG00000054598.9",307.62767272996,5.12664370287021,0.142192257218412,1.44347042377155e-284,1.31355808563211e-282
"ENSG00000165215.6",876.063834658345,4.56154508695909,0.126923046538997,7.82878595505309e-284,7.0970036342926e-282
"ENSG00000196584.4",829.187899395555,5.84859732425414,0.163056129950966,2.35373410515684e-283,2.12560983770266e-281
"ENSG00000125848.10",375.377504147903,-5.03746618715438,0.140192468024116,2.4285069506219e-283,2.1848283554629e-281
"ENSG00000107719.10",845.698508495082,8.06112547960115,0.224369893660255,2.5199676523957e-283,2.25855666837925e-281
"ENSG00000152952.14",6602.75184009943,-7.82802316605439,0.21801221303907,2.86956446918124e-283,2.56221901156104e-281
"ENSG00000166741.8",1398.62529343329,-10.2927478236538,0.285768384589234,2.3839381882065e-282,2.11929645994941e-280
"ENSG00000170899.11",159.976436960727,-5.7126915552775,0.15880054136766,2.39135805341434e-282,2.11929645994941e-280
"ENSG00000198053.12",529.20083161669,-3.55344837036088,0.0991045360091005,5.76813423694771e-282,5.09289800229536e-280
"ENSG00000113758.14",1899.34389082678,3.86213166896252,0.107910685217999,6.52187305516538e-282,5.73707433086048e-280
"ENSG00000136542.9",610.500481588368,9.79851552492801,0.272740289726092,6.68367147111374e-282,5.85770779005249e-280
"ENSG00000151726.16",2344.42946047235,-3.98332781087273,0.111242932449212,1.08292735568251e-281,9.4561057444174e-280
"ENSG00000116833.14",127.153209563212,-6.24091257788286,0.174155291970023,2.16232607091778e-281,1.88122368169846e-279
"ENSG00000141098.13",642.208109253856,-2.15320467101328,0.0601014230540966,2.5472121654387e-281,2.20798672048667e-279
"ENSG00000119514.7",405.834735939768,5.9949771957031,0.167555245120231,1.9600675575745e-280,1.69285689308916e-278
"ENSG00000197299.13",610.89850126833,5.86928350964744,0.16485507319141,5.51846703318702e-280,4.7488808154067e-278
"ENSG00000115361.8",286.768305757348,-6.24869151392392,0.175118748164208,1.88460042324085e-279,1.6159257997254e-277
"ENSG00000111247.15",815.50366473158,5.4809703062642,0.153873920661065,4.74531068395385e-279,4.05416813146e-277
"ENSG00000176920.14",157.577870173834,5.47792499732947,0.153639259333255,1.05242145452138e-278,8.959161995103e-277
"ENSG00000229807.13",3413.44353510517,-11.6667410984898,0.326135150341064,1.47041918073454e-278,1.24728307005807e-276
"ENSG00000160991.17",787.405956214397,4.16676756535472,0.116978584403627,2.23504187508164e-278,1.88912738701295e-276
"ENSG00000140403.13",848.53351749647,4.51787953059929,0.127005325439196,1.03337301536457e-277,8.70341932195881e-276
"ENSG00000101844.18",389.133013996236,-2.87009223674594,0.0807898830724311,5.56758757280121e-277,4.67264213574564e-275
"ENSG00000144063.4",1306.03855038688,3.95257068235709,0.11149695514945,3.92580213121004e-276,3.28315938092851e-274
"ENSG00000156006.5",186.09533427072,-6.3539680145452,0.179245283158367,3.95197939572927e-276,3.29345482905143e-274
"ENSG00000154511.12",339.933984423566,-3.260617760653,0.0918817615066918,9.36181252851292e-276,7.77455976799687e-274
"ENSG00000158856.19",550.34143703979,-4.27856416469211,0.120850573550655,1.4691515616252e-275,1.21581249965715e-273
"ENSG00000167711.14",491.837056437814,-4.93169595322464,0.139396989374133,2.35442641266899e-275,1.94166603219796e-273
"ENSG00000162482.5",298.529057111262,-3.83635021444752,0.108921834607334,2.27009552295347e-274,1.86564147978089e-272
"ENSG00000130303.14",369.524227964615,-4.566479012439,0.129214783225555,1.4879495096485e-273,1.21863064840212e-271
"ENSG00000172819.17",488.717205675931,7.43474050368236,0.210568769931565,7.45566946932419e-273,6.08520981326182e-271
"ENSG00000187764.12",478.632073763448,4.78725731901088,0.13585759624455,7.69407739580065e-273,6.2582887749199e-271
"ENSG00000112655.16",1871.03652887389,7.08405895073455,0.20136519890107,1.10237014777839e-272,8.93597043682062e-271
"ENSG00000166333.14",1703.63405122585,-2.38742241554732,0.0678095586346862,1.14734223521809e-272,9.26888620022612e-271
"ENSG00000204580.14",2851.2916093491,4.25710469964252,0.120981869844813,1.81585008610754e-272,1.46197475915729e-270
"ENSG00000196642.19",2524.63011709118,3.51006444964493,0.0998048988058022,6.77094569912079e-272,5.4329976790479e-270
"ENSG00000138207.15",10334.4842272918,-8.37345928849248,0.237992499441342,8.37701803638255e-272,6.69907593879199e-270
"ENSG00000130208.10",2221.62908577922,-7.35488057902058,0.209739098448976,2.06114214181602e-271,1.64275795336484e-269
"ENSG00000237649.8",643.951376520659,5.47915053737339,0.156213428533799,2.76495006151854e-271,2.19633207060625e-269
"ENSG00000062282.15",1185.94342794868,-3.43952653482283,0.0979421824191628,6.9550606522473e-271,5.50632151838419e-269
"ENSG00000141934.10",695.877861030773,7.52802429047145,0.214516408694977,6.32047603519788e-270,4.98729655521544e-268
"ENSG00000015520.15",277.89450366398,-7.86267988314237,0.22584533306984,1.62523076224475e-267,1.27817403424089e-265
"ENSG00000139044.12",583.775283686382,5.78644356874422,0.166547925709334,7.52270809152264e-267,5.89676039213711e-265
"ENSG00000103257.9",5477.02838685855,3.97619991811751,0.114580470783009,3.21844881391135e-265,2.51451900589501e-263
"ENSG00000156869.14",195.354794435752,-3.64790600596537,0.105260606777895,3.92380577047182e-265,3.0555511755566e-263
"ENSG00000168646.14",5710.20946382339,7.97978690265096,0.229898481871282,7.37383450590122e-265,5.72339684149216e-263
"ENSG00000148773.14",5476.2599963618,7.16889432473091,0.207162243839402,1.03919282577939e-264,8.03969667918119e-263
