"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000971.17",893.277292113289,-9.26257284724864,0.228310122362073,-40.570136581852,0,0
"ENSG00000002933.9",512.55444418168,-5.40867174595063,0.105883893149746,-51.0811567751992,0,0
"ENSG00000010292.13",3171.77184175222,4.62602460945462,0.10950286272063,42.2456956331525,0,0
"ENSG00000011422.12",1002.20634495425,6.8529033991792,0.167871174456389,40.8223950381637,0,0
"ENSG00000011426.11",4025.84577551836,5.69229237272233,0.142191687321515,40.0325256697411,0,0
"ENSG00000013810.21",1957.57372100541,4.93335587726678,0.0936985825801179,52.6513394484752,0,0
"ENSG00000017483.16",1591.52701164669,6.55573357109345,0.126548134182374,51.8042688930184,0,0
"ENSG00000026025.16",3961.22820624574,-7.47326589434075,0.12463403594707,-59.9616777034686,0,0
"ENSG00000035115.22",654.082150809267,3.32349095230136,0.0759196674376442,43.7764161049715,0,0
"ENSG00000035862.13",2433.6893063663,6.41743904313929,0.117870106489273,54.4450092926939,0,0
"ENSG00000050344.9",2299.02239231802,4.9193136919225,0.111879711696274,43.9696672197122,0,0
"ENSG00000051523.12",2120.38742773178,8.99506775978336,0.216631994032447,41.5223420712089,0,0
"ENSG00000062038.15",985.998112382572,7.68213685249333,0.157992771197976,48.6233439305087,0,0
"ENSG00000065911.13",3255.42818697782,6.27041313453063,0.10725065307335,58.4650345228408,0,0
"ENSG00000068489.13",1307.68665214588,6.17257935989641,0.128323682919993,48.1016381344422,0,0
"ENSG00000070814.22",3754.57019754866,4.22469296325023,0.110219160601817,38.3299322929208,0,0
"ENSG00000071282.12",432.654638486172,-4.029574543277,0.086463375174386,-46.6044094988178,0,0
"ENSG00000071539.14",1053.05761337171,4.03345489695136,0.104468964643595,38.6091210027,0,0
"ENSG00000073712.15",1163.03912160221,-4.0821044339245,0.0971956594239878,-41.9988347022526,0,0
"ENSG00000073792.16",1220.22941474566,5.31099779881381,0.139945637789621,37.9504347738068,0,0
"ENSG00000076382.17",1471.01891412608,3.96749745739664,0.0849752341657936,46.6900444152437,0,0
"ENSG00000080986.13",878.487414338514,6.45446898232452,0.171559719607853,37.6222868461082,0,0
"ENSG00000081059.20",1004.64333731728,5.36517230391009,0.103040393263479,52.0686318635363,0,0
"ENSG00000082458.12",747.133562250079,5.45666944991795,0.0928137177699679,58.7916267231306,0,0
"ENSG00000084207.18",7550.18169536368,5.97083928293925,0.140390110182931,42.5303411697528,0,0
"ENSG00000085999.13",414.405040778149,5.46072929568335,0.139680515596095,39.0944239601303,0,0
"ENSG00000087253.13",1160.01313226592,5.81288528865632,0.123405298831847,47.1040169561683,0,0
"ENSG00000088367.23",1416.61544233223,6.46642052098326,0.15429078627687,41.9106070882253,0,0
"ENSG00000090382.7",2452.62180687036,9.05966621426215,0.188766077397436,47.9941435408839,0,0
"ENSG00000091513.16",3332.20356647722,-7.06851740767879,0.146325010332827,-48.3069667420553,0,0
"ENSG00000093009.11",677.164150350012,5.26075110829362,0.127689518555473,41.199553164641,0,0
"ENSG00000094804.12",1976.84450553149,4.82980323320653,0.113158552245615,42.681734056859,0,0
"ENSG00000099282.10",477.931756473552,6.04998900971553,0.1516171357149,39.9030688793113,0,0
"ENSG00000099812.9",1018.46813518951,8.11996842526616,0.184538249847418,44.0015467361375,0,0
