                     Package                Version     
pkgconfig            "pkgconfig"            "2.0.3"     
plotly               "plotly"               "4.12.0"    
plyr                 "plyr"                 "1.8.9"     
png                  "png"                  "0.1-8"     
polyclip             "polyclip"             "1.10-7"    
preprocessCore       "preprocessCore"       "1.56.0"    
prettyunits          "prettyunits"          "1.2.0"     
progress             "progress"             "1.2.3"     
progressr            "progressr"            "0.18.0"    
promises             "promises"             "1.5.0"     
purrr                "purrr"                "1.2.1"     
qvalue               "qvalue"               "2.26.0"    
R.methodsS3          "R.methodsS3"          "1.8.2"     
R.oo                 "R.oo"                 "1.27.1"    
R.utils              "R.utils"              "2.13.0"    
R6                   "R6"                   "2.6.1"     
RANN                 "RANN"                 "2.6.2"     
rappdirs             "rappdirs"             "0.3.4"     
RColorBrewer         "RColorBrewer"         "1.1-3"     
Rcpp                 "Rcpp"                 "1.1.1"     
RcppAnnoy            "RcppAnnoy"            "0.0.23"    
RcppArmadillo        "RcppArmadillo"        "15.2.3-1"  
RcppEigen            "RcppEigen"            "0.3.4.0.2" 
RcppHNSW             "RcppHNSW"             "0.6.0"     
RcppNumerical        "RcppNumerical"        "0.7-0"     
RcppProgress         "RcppProgress"         "0.4.2"     
RcppTOML             "RcppTOML"             "0.2.3"     
RCurl                "RCurl"                "1.98-1.17" 
reactome.db          "reactome.db"          "1.77.0"    
readr                "readr"                "2.1.6"     
reshape2             "reshape2"             "1.4.5"     
reticulate           "reticulate"           "1.45.0"    
rhdf5                "rhdf5"                "2.38.1"    
rhdf5filters         "rhdf5filters"         "1.6.0"     
Rhdf5lib             "Rhdf5lib"             "1.16.0"    
rlang                "rlang"                "1.1.7"     
rmarkdown            "rmarkdown"            "2.30"      
ROCR                 "ROCR"                 "1.0-12"    
rprojroot            "rprojroot"            "2.1.1"     
RSpectra             "RSpectra"             "0.16-2"    
RSQLite              "RSQLite"              "2.4.6"     
rsvd                 "rsvd"                 "1.0.5"     
Rtsne                "Rtsne"                "0.17"      
S4Vectors            "S4Vectors"            "0.32.4"    
S7                   "S7"                   "0.2.1"     
sass                 "sass"                 "0.4.10"    
ScaledMatrix         "ScaledMatrix"         "1.2.0"     
scales               "scales"               "1.4.0"     
scattermore          "scattermore"          "1.2"       
scran                "scran"                "1.22.1"    
scuttle              "scuttle"              "1.4.0"     
shadowtext           "shadowtext"           "0.1.6"     
shiny                "shiny"                "1.13.0"    
SingleCellExperiment "SingleCellExperiment" "1.16.0"    
sitmo                "sitmo"                "2.0.2"     
snow                 "snow"                 "0.4-4"     
sourcetools          "sourcetools"          "0.1.7-1"   
sp                   "sp"                   "2.2-1"     
spam                 "spam"                 "2.11-3"    
sparseMatrixStats    "sparseMatrixStats"    "1.6.0"     
spatstat.data        "spatstat.data"        "3.1-9"     
spatstat.explore     "spatstat.explore"     "3.7-0"     
spatstat.geom        "spatstat.geom"        "3.7-0"     
spatstat.random      "spatstat.random"      "3.4-4"     
spatstat.sparse      "spatstat.sparse"      "3.1-0"     
spatstat.univar      "spatstat.univar"      "3.1-6"     
spatstat.utils       "spatstat.utils"       "3.2-1"     
statmod              "statmod"              "1.5.1"     
stringi              "stringi"              "1.8.7"     
stringr              "stringr"              "1.6.0"     
SummarizedExperiment "SummarizedExperiment" "1.24.0"    
