pathway,pval,padj,log2err,ES,NES,size,leadingEdge
HALLMARK_INFLAMMATORY_RESPONSE,0.0628546782180522,0.0952343609364428,0.287805130535564,-0.312808490559112,-1.29096089001181,172,OSMR|ITGB3|AQP9|HPN|KLF6|SLC7A2|CD14|RNF144B|FZD5|IL15|IL18R1|ABI1|ROS1|CD40|TLR1|SLC31A2|PVR|ADM|ABCA1|SLC31A1|CXCL10|NFKBIA|IRAK2|IL1R1|CXCL9|SELL|TAPBP|BST2|P2RX7|GCH1|ITGA5|SLC4A4|HIF1A|INHBA|GNAI3|P2RX4|TLR3|ACVR2A
HALLMARK_UV_RESPONSE_DN,0.0798319327731092,0.117399901136925,0.231126709673834,-0.314644017014835,-1.25491183762584,136,ITGB3|SDC2|PTGFR|TFPI|PDGFRB|CITED2|PDLIM5|DUSP1|PLPP3|RBPMS|CCN1|PRKCE|SYNE1|CAP2|MGLL|MAPK14|PTPRM|COL5A2|PTPN21|BHLHE40|KCNMA1|AGGF1|RND3|NOTCH2|ACVR2A|DDAH1|SCHIP1|DAB2|MT1E|INSIG1|MAGI2|RXRA|CAV1|LAMC1|PTEN|NR3C1
HALLMARK_HEME_METABOLISM,0.0847107438016529,0.121015348288076,0.222056046145248,-0.297991752877504,-1.24297755863138,179,RCL1|ALAD|LPIN2|GCLC|FTCD|NCOA4|ELL2|HAGH|TNS1|ARL2BP|BLVRB|SLC30A1|FBXO7|BPGM|USP15|KAT2B|ATG4A|LAMP2|HTATIP2|GCLM|GYPC|CA2|CAT|TSPO2|DAAM1|RNF19A|CCDC28A|SLC30A10|OPTN|PC|MARCHF2|ACP5|CTSB|C3|RIOK3|MOCOS|MINPP1|ABCB6|ADD1|ADIPOR1|PICALM|SLC66A2|HDGF|HEBP1|HBB|ISCA1|UROD|YPEL5|CDR2|NR3C1|PPP2R5B|PSMD9|DCAF11|H1-0|FBXO9|SIDT2|TRAK2|RANBP10|MXI1|LRP10|GDE1|MGST3|SMOX|MARCHF8|PPOX|RAD23A|SDCBP|ALDH6A1|CTNS|EPB41|NFE2L1
HALLMARK_ANGIOGENESIS,0.101139394390193,0.140471381097491,0.287805130535564,-0.463999803158776,-1.44665881738712,32,VTN|APOH|FSTL1|SPP1|ITGAV|VCAN|COL5A2|SERPINA5|KCNJ8|THBD
HALLMARK_P53_PATHWAY,0.117647058823529,0.158982511923688,0.178219874951973,0.284894422613308,1.19846503533162,197,ITGB4|ST14|S100A4|PTPRE|H2AC25|LDHB|CDK5R1|CCND2|TGFB1|SERPINB5|JAG2|CCP110|VDR|LIF|ADA|CDKN2A|PVT1|NOTCH1|KLK8|EPHA2|ABCC5|DEF6|IER3|PTPN14|RALGDS|TP53|TGFA|PDGFA|TCHH|SFN|TNFSF9|KRT17|PCNA|DGKA|RAD9A|SP1|IER5|ZNF365
HALLMARK_MYOGENESIS,0.126315789473684,0.166204986149585,0.181383128498408,-0.290379491128122,-1.19079255149388,163,CLU|DMD|ENO3|GADD45B|CRYAB|PPP1R3C|CACNA1H|SH3BGR|FXYD1|MYLK|FST|MEF2A|TNNI1|COX6A2|PDE4DIP|ACSL1|COX7A1|MYOM1|ITGB1|GSN|OCEL1|ACTA1|ANKRD2|MYH9|HSPB8|TAGLN|BHLHE40|GABARAPL2|LPIN1|CRAT|NAV2|AGL|MYL7|TPD52L1|PC|RIT1|CNN3|GNAO1|PSEN2|SCHIP1|FDPS|DAPK2|ADCY9|DENND2B|ACHE|SCD|DTNA|IGF1|KIFC3|CAMK2B|HDAC5
HALLMARK_NOTCH_SIGNALING,0.170254403131115,0.218274875809122,0.148261500475107,0.404777484696365,1.22664240115533,31,FZD7|MAML2|LFNG|NOTCH1|DLL1|CCND1|NOTCH3|DTX2|FZD1|KAT2A|HES1|TCF7L2|ARRB1
HALLMARK_KRAS_SIGNALING_DN,0.179012345679012,0.223765432098765,0.148261500475107,-0.284640491675872,-1.14966577762449,148,ITIH3|ZBTB16|EFHD1|OXT|PTGFR|SLC38A3|SERPINA10|C5|SLC16A7|MX1|UGT2B17|IGFBP2|SELENOP|FGGY|IFI44L|SYNPO|EDN2|SLC29A3|CYP39A1|ARPP21|AKR1B10|GDNF|CLDN16
HALLMARK_IL2_STAT5_SIGNALING,0.205450733752621,0.250549675308074,0.13880510939114,-0.267077602642237,-1.11571486712729,188,SERPINC1|AMACR|SCN9A|KLF6|XBP1|ENO3|TNFSF11|GADD45B|F2RL2|SMPDL3A|FAH|SPP1|ITGAV|IL18R1|PLPP1|GUCY1B1|IL1RL1|NFIL3|SHE|CISH|MAPKAPK2|CXCL10|IFITM3|TRAF1|DHRS3|GBP4|RORA|CA2|SELL|BHLHE40|IRF4|ENPP1|BMP2|RHOB|SYT11|IL1R2|CKAP4|ALCAM|P2RX4|SNX14|GSTO1|MYO1E|GPX4|PNP|SOCS2|NFKBIZ|FURIN|IGF2R|HYCC2|NDRG1|CSF1|SH3BGRL2|ETFBKMT|IFNGR1|GABARAPL1|AHR|P4HA1
HALLMARK_UV_RESPONSE_UP,0.218106995884774,0.259651185577112,0.132846300606183,-0.276012408201475,-1.1269000442153,154,CDO1|APOM|SOD2|ONECUT1|SQSTM1|CYB5R1|IGFBP2|FMO1|HMOX1|SLC6A12|ACAA1|RRAD|GRINA|RAB27A|NFKBIA|SLC25A4|TUBA4A|CA2|CREG1|CYP1A1|EPHX1|GCH1|BMP2|RHOB|C4BPB|BTG1|TST|ATF3|PTPRD|CDC34|ALAS1|ATP6V1C1|CCK|SPR|FURIN|PRKACA|KLHDC3|MGAT1|UROD|IL6ST|CXCL2|CDKN2B|TAP1|CEBPG|AMD1|RET|TMBIM6|BCL2L11
HALLMARK_HEDGEHOG_SIGNALING,0.234833659491194,0.273062394757202,0.12384217120105,0.374781534208094,1.17052411707863,35,ADGRG1|SLIT1|CDK5R1|L1CAM|NRP2|OPHN1|CELSR1|TLE3|PTCH1
HALLMARK_APICAL_SURFACE,0.288032454361055,0.327309607228471,0.112378519110475,0.349033689583418,1.12417927987886,41,PLAUR|DCBLD2|BRCA1|EFNA5|AFAP1L2|LYPD3|NCOA6|SLC34A3|IL2RG|GATA3|SRPX
HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.313575525812619,0.348417250902911,0.103197466945307,0.279267085396393,1.06827305239975,98,SLC2A1|CDK1|E2F1|PLCG1|CDK2|NOD1|PITX2|GRK2|PAK4|RPS6KA1|SFN|DAPP1|ACACA|CXCR4|LCK|IL2RG|MAPK9|CDK4|HSP90B1|AP2M1|PPP1CA
HALLMARK_ALLOGRAFT_REJECTION,0.330490405117271,0.359228701214425,0.106729884364606,-0.257545946481143,-1.05079492303605,161,F2|C2|MBL2|RPL9|IL15|ABI1|CXCL13|HLA-E|IFNAR2|CD40|TLR1|ITGAL|CXCL9|CD1D|TAPBP|BCL3|IRF4|GALNT1|TGFB2|EIF3J|HIF1A|INHBA|GBP2|TLR3|ACVR2A|FAS|B2M|BCAT1|STAT4|NCK1|MTIF2|ACHE|CSF1
HALLMARK_PANCREAS_BETA_CELLS,0.362139917695473,0.385255231590929,0.0988903007520636,-0.346680706817844,-1.05819449183629,29,SLC2A2|SCGN|PKLR|DCX|FOXA2|SRPRB|FOXO1
HALLMARK_APICAL_JUNCTION,0.441904761904762,0.46031746031746,0.083129129135339,0.241527860536635,1.00159731106863,182,ITGB4|CDH3|SYK|NECTIN1|SDC3|MDK|FSCN1|SPEG|ATP1A3|CERCAM|ADAM15|ITGA3|ICAM5|NLGN2|KCNH2|PLCG1|LAMA3|COL17A1|MAPK13|WNK4|CLDN7|SKAP2|AMH|MPZL2|RAC2|MAP4K2|SRC|KRT31|EPB41L2|CLDN4|AKT3|MAPK11|AMIGO2|NHERF4|ITGA2|VWF|PPP2R2C|CDH4|BAIAP2|CNTN1|CALB2|MMP2|INPPL1|NLGN3|ICAM2|ITGA9|CLDN11|JUP|LIMA1|TUBG1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.5390625,0.550063775510204,0.0739901439101342,0.24847467905158,0.963461755304973,113,MTHFD2|DNAJA4|SLC7A5|CNOT6|H2AX|WFS1|KHSRP|EXOSC2|FUS|KDELR3|CKS1B|ASNS|NOLC1|ALDH18A1|NOP56|GEMIN4|EIF4A3|DKC1|ARFGAP1|HSP90B1|RRP9|STC2|CHAC1
HALLMARK_TGF_BETA_SIGNALING,0.947572815533981,0.947572815533981,0.046788296531803,0.207172763214379,0.704736270324957,52,SMURF2|TGFB1|CDKN1C|PMEPA1|HDAC1|LTBP2|SLC20A1|ENG|NCOR2|PPP1CA
